#,1,2,3,4,5,6
Sun,CHEMISTRY,CS,MATHS,ENGLISH,PHYSICS
Mon,CHEMISTRY,ENGLISH,MATHS,CS,PHYSICS
Tue,PHYSICS,CS,CHEMISTRY,CS,MATHS,CHEM
Wed,MATHS,PHYSICS,CS,ENGLISH,CHEMISTRY
Thur,ENGLISH,CHEMISTRY,CS,MATHS,PHYSICS
Fri,CHEM,,,,,MATHS
